Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",LIDAR CMI Sampling Ð Christina,1070-30/OT21FHQ030,ITT,2020/04/29,1,2020/05/08,Bio-Geo Dynamics Ltd,Prince George,British Columbia,Canada,"$37,927.00",2020/06/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",LIDAR CMI Sampling Ð Edgewood,1070-30/OT21FHQ031,ITT,2020/05/05,2,2020/05/11,Bio-Geo Dynamics Ltd.,Prince George,British Columbia,Canada,"$39,160.00",2020/06/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",CONTRACT MONITOR - ROAD CONSTRUCTION BLUE 4000 AND PAN CROSSING ,EN21DQU003,ITT,2020/04/22,0,2020/05/15,Frontline Management Services Ltd.,Vancouver,British Columbia,Canada,"$23,050.00",2020/06/04
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services West Kootenay District Se,31507OP0014,MOTITT,2020/04/22,0,2020/05/13,N/A,,,,$0.00,2020/06/04
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services West Kootenay District Se,31507OP0014,MOTITT,2020/04/22,0,2020/05/13,N/A,,,,$0.00,2020/06/04
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Rock Slope Stabilization, Revelstoke Dam Bluff, Rockfall Fence M",86002MN4545,MOTITT,2020/05/08,0,2020/05/26,Mountain Rock Stabilization Services Inc.,Kamloops,British Columbia,Canada,"$186,030.00",2020/06/04
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Rock Slope Stabilization, Revelstoke Dam Bluff, Rockfall Fence M",86002MN4545,MOTITT,2020/05/08,0,2020/05/26,Mountain Rock Stabilization Services Inc.,Kamloops,British Columbia,Canada,"$186,030.00",2020/06/04
Ministry of Children and Family Development,Ministry of Children and Family Development,Indigenous Child and Youth Mental Health,nr101SRFP,SRFP,2020/05/06,1,2020/05/22,N/A,,,,$0.00,2020/06/05
Procurement Services Branch,Ministry of Citizens' Services,MySQL Enterprise Edition Renewal,ITQ-006224,Itq,2020/05/20,0,2020/05/28,Softchoice LP,Vancouver,British Columbia,Canada,"$14,746.20",2020/06/05
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,IBM DB2 renewal,ITQ-006221,Itq,2020/05/19,0,2020/05/27,GlassHouse Systems Inc.,Toronto,Ontario,Canada,"$18,750.65",2020/06/05
Procurement Services Branch,Ministry of Citizens' Services,** REQUOTE **  TIDAL Support & Maintenance (Victoria),ITQ-006216R,Itq,2020/05/20,1,2020/05/28,Tidal Software LLC,Chicago,Illinois,USA,"$8,954.40",2020/06/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Tree Seed Collections for Genetic Conservation,1070-20/OP21FHQ043,SRFP,2020/05/13,2,2020/05/29,Yellow Point Propagation Ltd.,Ladysmith,British Columbia,Canada,"$25,000.00",2020/06/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Stand Development Monitoring Data Analysis,1070-30/OT21FHQ064,ITQ,2020/05/12,0,2020/05/27,Forest Analysis Ltd,Huntsville,Ontario,Canada,"$19,500.00",2020/06/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Inlaid Durable Pavement Markings in Northern Region,37742MJ0000,MOTITT,2020/05/13,2,2020/05/20,Infinite Road Marking Ltd.,Abbotsford,British Columbia,Canada,"$299,312.45",2020/06/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing Hwy 5 Great Bear Snow Shed to Dry Gulch Br.,25156MJ0000,MOTITT,2020/05/27,1,2020/06/09,Dawson Construction Limited,Kamloops,British Columbia,Canada,"$4,660,176.00",2020/06/10
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Danger Tree Remediation and Falling,GS21LMN100,ITT,2020/05/06,2,2020/05/19,I.T. Falling Ltd.,Kamloops,British Columbia,Canada,"$15,198.00",2020/06/11
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,AS & WHEN REQUIRED FIRST AID SERVICES - SOUTH PEACE,331LM8847-FA,ITB,2020/06/04,0,2020/06/11,Tactical Medical Service Inc.,Nanaimo,British Columbia,Canada,"$50,000.00",2020/06/11
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",REQUEST FOR STANDING OFFER - 5L DRY BAGS (2 LOCATIONS),ITQ-006222,Itq,2020/05/27,1,2020/05/29,Campers Village,Edmonton,Alberta,Canada,$0.00,2020/06/12
Procurement Services Branch,Ministry of Citizens' Services,NUIX Software Renewal,ITQ-006229,Itq,2020/06/02,0,2020/06/10,Teel Technologies Canada,Victoria,British Columbia,Canada,"$6,550.88",2020/06/15
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,BC Parks Type 1 Plastic Wood Number Posts (Kikomun Creek Park),ITQ-006235,Itq,2020/06/02,0,2020/06/10,Wishbone Industries Ltd,Langley,British Columbia,Canada,"$10,595.77",2020/06/15
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,10-34-0 and 28-0-0 Agricultural Grade Liquid Fertilizer,ITQ-006243,Itq,2020/06/09,2,2020/06/11,Terralink Horticulture Inc,Abbotsford,British Columbia,Canada,"$36,318.31",2020/06/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Revelstoke TSA VRI Photo Interp and Digital Map Production,1070-30/OT21FHQ027,RFP,2020/05/20,6,2020/05/21,IRC Spatial Data Group Inc.,Victoria,British Columbia,Canada,"$483,178.00",2020/06/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Telkwa Forest Service Road 6km Ð 7km upgrade ,EN21PGN329,ITT,2020/06/12,4,2020/06/15,Bear Creek Contracting,Terrace,British Columbia,Canada,"$99,275.00",2020/06/15
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Pedestrian Aluminum Bridge (Campbell River),ITQ-006237,Itq,2020/06/08,1,2020/06/10,Pacific Industrial & Marine Ltd.,Duncan,British Columbia,Canada,"$14,197.24",2020/06/15
