Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Procurement Services Branch ,"Ministry of Water, Land and Resource Stewardship",Req 56841 - FERTILIZER FOR WAHLEACH RESERVOIR,5100140,Invitation to Quote,2023-05-09,0,2023-05-19,Terralink Horticulture Inc.,,"$9,789.20",2023-05-29
Ministry of Transportation and Infrastructure,Northern Regional Office ,Hot-in-Place Recycling 2023/2024 Hwy 37 and 37A Bear Glacier to Bell Irving 1  93.7 Lane KM,38209MJ0000,Invitation to Tender,2023-03-28,1,2023-05-04,Peters Bros. Construction Ltd.,"716 Okanagan Avenue East |, Penticton, British Columbia","$7,278,211.00",2023-06-06
Ministry of Transportation and Infrastructure,Northern Regional Office ,NR Rumble Strip Program 2023/24,38235MJ0000,Invitation to Tender,2023-03-29,0,2023-05-02,DUNWELL INNOVATIONS INC,"510-1708 Dolphin Avenue, Kelowna, British Columbia","$163,692.00",2023-05-10
Ministry of Transportation and Infrastructure,Northern Regional Office ,Graded Aggregate Sealcoat 2023/2024 Skeena Area (61.3 Lane Km),38228MJ0000,Invitation to Tender,2023-03-20,1,2023-04-12,White Bear Industries Ltd,"3998 Desjardins Ave, THORNHILL, British Columbia","$3,402,550.00",2023-04-20
Ministry of Transportation and Infrastructure,Northern Regional Office ,Graded Aggregate Seal Coat 2023/24 Hwy 16 McBride Area (120.3 Lane Km),38211MJ0000,Invitation to Tender,2023-03-09,2,2023-04-13,White Bear Industries Ltd,"3998 Desjardins Ave, THORNHILL, British Columbia","$5,181,698.40",2023-04-25
Ministry of Transportation and Infrastructure,Northern Regional Office ,Alaska Hwy 97 - 230 Road Intersection Improvements,37798MJ0000,Invitation to Tender,2023-02-10,1,2023-03-23,Brocor Construction Ltd,"2537 Water Treatment Road, Dawson Creek, British Columbia","$3,421,745.56",2023-04-11
Procurement Services Branch ,OCIO Enterprise Services ,AWS Technical Lead,165607,Request for Proposal,2023-04-14,3,2023-05-11,Autimo,"1743 Charles St., Vancouver, British Columbia","$1,200,000.00",2023-05-26
BC Timber Sales Branch ,Okanagan-Columbia ,SU24TKJ006 - Silviculture Surveys - NZ,SU24TKJ006 - TOC,Invitation to Tender,2023-03-08,0,2023-04-05,Vision Forestry,,"$29,906.00",2023-04-20
BC Timber Sales Branch ,Okanagan-Columbia ,SD24TKN005 - Multiphase Timber Sale Development - SZ ,SD24TKN005 - TOC,Invitation to Tender,2023-04-24,1,2023-05-17,drake forestry services ltd,"1936 Bayview Court, West Kelowna, British Columbia","$378,320.00",2023-06-12
BC Timber Sales Branch ,Okanagan-Columbia ,SD24TKR024 - Multiphase Timber Sale Licence Development - Revelstoke,SD24TKR024 - TOC,Invitation to Tender,2023-04-24,0,2023-05-23,Cabin Resource Management,,"$268,620.00",2023-06-05
BC Timber Sales Branch ,Okanagan-Columbia ,EN24TKE027 - Roadside Brushing and Forest Road Grading - NZ,EN24TKE027 - TOC,Invitation to Tender,2023-04-20,1,2023-05-11,O.K. Forestry Road Maintenance,,"$63,044.10",2023-05-30
BC Timber Sales Branch ,Okanagan-Columbia ,SD24TKN015 - Multiphase Timber Sale Development - SZ,SD24TKN015 - TOC,Invitation to Tender,2023-04-27,0,2023-05-24,Cabin Resource Management Ltd.,"V1T 9G1, Vernon, British Columbia","$253,070.00",2023-06-07
BC Timber Sales Branch ,Okanagan-Columbia ,SD24TKR023 - MultiPhase Timber Sale License Development - Golden,SD24TKR023 - TOC,Invitation to Tender,2023-04-11,1,2023-05-08,Pioneer Forest Consulting Ltd.,"806 9th street north, Golden, British Columbia","$316,262.00",2023-05-24
BC Timber Sales Branch ,Okanagan-Columbia ,SP24TKJ009 - Mechanical Site Preparation - NZ,SP24TKJ009 - TOC,Invitation to Tender,2023-03-22,1,2023-04-13,Midwest Excavating Ltd.,,"$201,274.00",2023-04-18
BC Timber Sales Branch ,Okanagan-Columbia ,IM24TKJ021 - Implementation - NZ,IM24TKJ021 - TOC,Invitation to Tender,2023-03-30,0,2023-04-20,Paul James Toovey,,"$31,100.00",2023-04-28
BC Timber Sales Branch ,Peace-Liard ,SU24TDF001 YR1 -  MSQ Silviculture Surveys in the Fort St. John TSA,SU24TDF001 YR1,Invitation to Tender,2023-02-16,0,2023-03-21,Pathocon Consulting ,,"$52,972.00",2023-04-21
BC Timber Sales Branch ,Peace-Liard ,"SU24TDE003 - Silviculture Surveys, Dawson Creek",SU24TDE003,Invitation to Tender,2023-03-14,0,2023-04-12,Adlard Environmental,"275 Rd, Charlie Lake, British Columbia","$183,673.09",2023-05-23
BC Timber Sales Branch ,Peace-Liard ,"AA24TDA001 - Professional Archaeological Services, Peace-Liard Business Area",AA24TDA001,Invitation to Tender,2023-04-18,1,2023-05-16,Synergy Land and Environmental Services Ltd,"10016 106 St, Fort St. John, British Columbia","$274,190.00",2023-06-19
BC Timber Sales Branch ,Peace-Liard ,BR24TDF001 - Manual Brushing in the Fort St. John TSA,BR24TDF001,Invitation to Tender,2023-03-22,0,2023-04-18,Mihis Silviculture Contracting,"2363 Sadler Drive, Prince George , British Columbia","$330,410.00",2023-05-17
BC Timber Sales Branch ,Peace-Liard ,IM24TDE001 Spring Tree Planting Implementation and Regeneration Surveys in the Dawson Creek Timber Supply Area,IM24TDE001,Invitation to Tender,2023-04-04,1,2023-05-03,CELTIC REFORESTATION SERVICES LTD.,"1991 1ST AVE, PRINCE GEORGE, British Columbia","$61,640.00",2023-05-23
BC Timber Sales Branch ,Peace-Liard ,SD24TDE002 Multiphase Timber Sale Development in the Dawson Creek Timber Supply Area and Tree Farm Licence 48,SD24TDE002,Invitation to Tender,2023-03-31,2,2023-05-09,IndustrialForestry Service Ltd.,"1595 5TH AVENUE, Prince George, British Columbia","$1,639,996.00",2023-05-30
Attorney General,Policy and Legislation Division ,Policy Consulting,167878,Contract Award Notice,2023-05-05,0,2023-05-15,"Ronald C.C. Cuming, K.C.",,"$60,000.00",2023-04-09
