Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 120 - 7.3 m pipe deck cattleguards (3 ea) Sill Option 2L-100 Light,5078748,Invitation to Quote,2022-12-28,0,2023-01-13,Alpha Design,"2795 Pooley Ave, Merritt, British Columbia","$59,970.00",2023-01-23
"Ministry of Water, Land and Resource Stewardship",,GBAITN Development Services,160693,Request for Proposal,2023-03-31,3,2023-03-27,Refractions Research,"Suite 300 – 1207 Douglas St.
Victoria BC  V8W 2E7","$120,000.00",2023-03-31
"Ministry of Water, Land and Resource Stewardship",,BC Provincial Register of Well Drillers and Well Pump Installers Clean Up,11866,Request for Proposal,2023-02-02,0,2023-01-30,Mirjami Saarinen,"3346 Dolphin Drive, Nanoose Bay, BC, V9P 9H7","$7,000.00",2023-02-01
"Ministry of Water, Land and Resource Stewardship",,"Review and re-organize data and R code from the past project Carnation Creek – Long-term Fish Population Trends, (Sparling and Hocking 2015)",NOI_GS23AQ0026,Notice of Intent (BPS),2023-02-01,,,Ecofish Research Ltd.,"Suite 114 – 1537 Hillside Avenue
Victoria BC, V8T 2C1","$6,000.00",2023-02-10
"Ministry of Water, Land and Resource Stewardship",,ASSEMBLED DATA RE-ANALYSIS BY “R”,157860,Direct Award,2023-02-01,0,2023-02-10,Ecofish Research Ltd.,"Suite 114 – 1537 Hillside Avenue
Victoria BC, V8T 2C1","$6,000.00",2023-02-10
Procurement Services Branch ,"Ministry of Water, Land and Resource Stewardship",BCBid - 30 Reconyx HyperFire 2 Professional Covert IR Camera & 3,5088867,Invitation to Quote,2023-02-24,0,2023-03-06,Gul and Gula ,"26-3560 MARINE DR SE, VANCOUVER, British Columbia","$21,771.00",2023-03-13
Ministry of Forests,Natural Resource Operations - 100 Mile House ,FLTC A98936 Sale of Decked Timber,11520,Timber Auction,2022-12-21,0,2023-01-10,J. Sarver Trucking Ltd,"140 Wrangler Wy, 100 Mile House, British Columbia",$12.29,2023-01-10
Ministry of Transportation and Infrastructure,Northern Regional Office ,Asphalt Surfacing 2023/24 Hwy 16 Dome Cr to Lasalle Lk (102.5 Lane Km),38213MJ0000,Invitation to Tender,2023-02-14,1,2023-03-09,Emil Anderson Construction (EAC) Inc.,"966 Crowley Ave, Kelowna, British Columbia","$10,301,531.51",2023-03-14
Ministry of Transportation and Infrastructure,Northern Regional Office ,Asphalt Surfacing 2023/24 North and South Peace (67.02 Lane KM),38216MJ0000,Invitation to Tender,2023-02-07,1,2023-03-01,Peters Bros. Construction Ltd.,"716 Okanagan Avenue East |, Penticton, British Columbia","$6,297,211.00",2023-03-14
Ministry of Transportation and Infrastructure,Northern Regional Office ,Hot-In-Place Recycling 2023/24 Hwy 5 Whitewater Bridge to Albreda Pit Road (108.1 Lane KM),38215MJ0000,Invitation to Tender,2023-01-30,0,2023-02-23,Green Roads Recycling Ltd.,"5277 Highline Dr, Fernie, British Columbia","$7,088,844.30",2023-03-02
Ministry of Transportation and Infrastructure,Northern Regional Office ,Asphalt Surfacing 2023/24 Hwy 16 Vanderhoof Area (43.7 Lane KM),38214MJ0000,Invitation to Tender,2023-01-05,2,2023-02-03,Peters Bros. Construction Ltd.,"716 Okanagan Avenue East |, Penticton, British Columbia","$6,977,211.00",2023-02-13
Attorney General,Office of Housing and Construction Standards ,Review and Evaluation of BC Housing's Two Rent Supplement Programs: HOP and HPP,9111,Request for Proposal,2022-11-14,1,2022-12-12,Malatest,"858 Pandora Avenue,
Victoria, BC V8W 1P4
","$79,825.25",2023-01-17
BC Timber Sales Branch ,Peace-Liard ,SU24TDE002- Silviculture Surveys Dawson Creek TSA,SU24TDE002,Invitation to Tender,2022-12-16,0,2023-01-11,Geoterra IRS,"1323 Kelliher Rd, Prince George, British Columbia","$54,315.00",2023-03-06
BC Timber Sales Branch ,Peace-Liard ,PL24TDF001 - Summer Tree Planting in the Fort St. John Timber Supply Area,PL24TDF001 ,Invitation to Tender,2023-01-24,0,2023-02-21,Dynamic Reforestation,"2367 Fox Mountain Rd, Williams Lake, British Columbia","$1,290,019.09",2023-03-15
BC Timber Sales Branch ,Prince George ,EN24TGF002 - Professional Engineering Services in the Prince George Business Area,EN24TF002,Request for Proposal,2023-02-03,0,2023-03-07,DWB Consulting Services Ltd.,"1579 9th Ave. , Prince George, British Columbia","$151,681.50",2023-03-22
BC Timber Sales Branch ,Prince George ,EN24TGF004 - Prince George Bridge Loading and Moving,EN24TGF004,Invitation to Tender,2023-01-17,1,2023-02-08,C A N Crane Specialists Ltd.,"7405 John Hart Hwy, Prince George, British Columbia","$59,100.00",2023-02-23
BC Timber Sales Branch ,Prince George ,BR24TGE002 - Manual Brushing in the Mackenzie District,BR24TGE002,Invitation to Tender,2022-11-29,1,2023-01-04,Mihis Silviculture Contracting,"2363 Sadler Drive, Prince George , British Columbia","$359,222.60",2023-01-25
BC Timber Sales Branch ,Prince George ,PL24TGE004 - Summer Planting in the Mackenzie District,PL24TGE004,Invitation to Tender,2022-11-16,0,2022-12-21,Dynamic Reforestation,"2367 Fox Mountain Rd, Williams Lake, British Columbia","$1,380,272.70",2023-01-03
