Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northern Woodland Caribou Winter Lichen Habitat refinement ,CS22DPG727,RFP,2021/07/08,1,2021/07/19,Chu Cho Environmental LLP,Prince George,British Columbia,Canada,"$79,896.00",2021/07/27
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","*REQUOTE* Hose, 1.5 inch x 100ft, High Endurance Forestry Hose",ITQ-006704R,Itq,2021/07/02,0,2021/07/12,National Fire Equipment Limited,Burnaby,British Columbia,Canada,$0.00,2021/07/27
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",RSO for Folding Portable Sleeping cots,ITQ-006725,Itq,2021/06/30,0,2021/07/09,Elite Textile Trading LLC,Irvine,California,United States,$0.00,2021/07/27
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushing Aggregate in Stockpile Puntzi Pit No. 1881,25576MJ0000,MOTITT,2021/07/08,0,2021/07/22,Timbro Contracting (A Partnership),Agassiz,British Columbia,Canada,"$625,182.40",2021/07/28
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushing Aggregate in Stockpile Puntzi Pit No. 1881,25576MJ0000,MOTITT,2021/07/08,0,2021/07/22,Timbro Contracting (A Partnership),Agassiz,British Columbia,Canada,"$625,182.40",2021/07/28
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Supply, Install, Training of 9 HP Plotters (Various Locations)",ITQ-006739,Itq,2021/07/20,2,2021/07/26,Printer World International Inc.,Vernon,British Columbia,Canada,"$55,688.09",2021/07/28
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Barnston Island Ferry Dock Repairs,09395MJ0001,MOTITT,2021/07/21,3,2021/07/27,Online Constructors Ltd.,Abbotsford,British Columbia,Canada,"$323,790.50",2021/07/29
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Kamloops Lillooet PSP Remeasurement,1070-30/OT22FHQ142,ITT,2021/07/14,0,2021/07/28,N/A,N/A,N/A,N/A,$0.00,2021/07/29
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hemlock Valley Road Pavement Resurfacing,13050MJ2021,MOTITT,2021/07/21,2,2021/07/28,ALL ROADS Construction Ltd.,Surrey,British Columbia,Canada,"$1,859,500.00",2021/07/29
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Installation of Electric Vehicle Charging Stations at Rest Area,37483MJ0003,MOTITT,2021/07/16,2,2021/07/21,Westcana Electric Inc.,Prince George,British Columbia,Canada,"$1,218,860.00",2021/07/29
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 16 - Terrace CVIS Eastbound Weigh-In-Motion (WIM),84169MJ0000,MOTITT,2021/06/23,0,2021/07/22,Robin Constructors Corp Dba Robin Constructors Limited Partners,Delta,British Columbia,Canada,"$910,448.75",2021/07/29
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 16 - Terrace CVIS Eastbound Weigh-In-Motion (WIM),84169MJ0000,MOTITT,2021/06/23,0,2021/07/22,Robin Constructors Corp Dba Robin Constructors Limited Partners,Delta,British Columbia,Canada,"$910,448.75",2021/07/29
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","*REQUOTE* Hose, 1.5inch x 10ft, High Endurance Rubber Forestry",ITQ-006706R,Itq,2021/07/02,0,2021/07/12,National Fire Equipment Limited,Burnaby,British Columbia,Canada,$0.00,2021/07/29
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",LIGHT DUTY SNOWMOBILE - 1 UNIT - VERNON,ITQ-006741,Itq,2021/07/15,0,2021/07/23,Cycle North Enterprises Ltd,Prince George,British Columbia,Canada,"$11,086.88",2021/07/29
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cone Picking Lodgepole Pine Orchards,1070-30/CC22FHQ091,ITT,2021/06/28,1,2021/07/15,N/A,N/A,N/A,N/A,$0.00,2021/07/30
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Knife CRK RD - Coldspring CRK & Cave RD - Wiggins CRK Bridges,25174MJ0001,MOTITT,2021/07/08,2,2021/07/14,Tsilhqot’in Eten Nadiltil Limited Partnership,Victoria,British Columbia,Canada,"$3,043,178.87",2021/07/30
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cutslope Stabilization at Coglistiko 21km FSR,EN22474017,ITT,2021/07/08,0,2021/07/28,N/A,N/A,N/A,N/A,$0.00,2021/07/30
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cutslope Stabilization at Coglistiko 21km FSR,EN22474017,ITT,2021/07/08,0,2021/07/28,N/A,N/A,N/A,N/A,$0.00,2021/07/30
Procurement Services Branch,Ministry of Citizens' Services,ShareGate License 12-month Subscription Renewal for 5 Users. Par,ITQ-006742,Itq,2021/07/19,0,2021/07/27,Insight Canada Inc,Vancouver,British Columbia,Canada,"$10,910.41",2021/07/30
Procurement Services Branch,Ministry of Justice,"Custom Secure Enclosures (Vancouver, BC)",ITQ-006743,Itq,2021/07/19,0,2021/07/27,Downtown Custom Metal Works Ltd.,Vancouver,British Columbia,Canada,"$126,479.27",2021/07/30
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI To Direct Award Contract to SSA Quantity Serveyor's,12492,NOI,2021/06/25,0,2021/07/04,SSA Quantity Surveyors,Victoria,British Columbia,Canada,"$2,400.00",2021/08/01
Ministry of Children and Family Development,Ministry of Children and Family Development,CDBC including FASD South Peace,NR107SRFP,SRFP,2021/06/08,0,2021/07/09,Dawson Creek Haven Family Services,Dawson Creek,British Columbia,Canada,"$89,000.00",2021/08/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Tahltan Wildfire Risk Reduction Tactical Plan,GS22DSS104,SRFP,2021/07/12,1,2021/08/03,Frontera Forest Solutions Inc,North Vancouver,British Columbia,Canada,"$59,950.00",2021/08/03
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,BC Parks Table Boards,ITQ-006746,Itq,2021/07/20,0,2021/07/28,Ennadai Woodworks Inc,Golden,British Columbia,Canada,"$24,492.16",2021/08/03
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Required - Traffic Control & First Aid Services,ITQ-HWY97PG-2021,ITQ,2021/07/09,0,2021/07/23,Domcor Traffic Control and First Aid Services,Campbell River,British Columbia,Canada,"$50,000.00",2021/08/03
Ministry of Attorney General,Ministry of Attorney General,NOI to direct award psychological support services,NOI 12198,NOI,2021/03/18,0,2021/03/31,Dr. Georgia Nemetz,Vancouver,British Columbia,Canada,"$10,000.00",2021/08/03
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal & Transportation - Gulf Islands ,BCCS21NOI706C,NOI,2021/03/17,0,2021/03/31,Hayward Funeral Service,Salt Spring Island,British Columbia,Canada,"$40,000.00",2021/08/04
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal & Transportation - Gulf Islands ,BCCS21NOI706C,NOI,2021/03/17,0,2021/03/31,Hayward Funeral Service,Salt Spring Island,British Columbia,Canada,"$40,000.00",2021/08/04
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Request for Standing Offer - Compressed Gases (Victoria BC),ITQ-006747,Itq,2021/07/21,0,2021/07/29,Air Liquide Canada Inc,Victoria,British Columbia,Canada,$0.00,2021/08/04
Ministry of Health,Ministry of Health,Food Infrastructure Grant Program,RFPHL2022-001,RFP,2021/06/04,3,2021/06/14,United Way British Columbia,Burnaby,British Columbia,Canada,"$250,000.00",2021/08/04
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer - Personal first aid pouch,ITQ-006754,Itq,2021/07/23,0,2021/08/03,F.A.S.T. FIRST AID & SURVIVAL TECHNOLOGIES LIMITED,Delta,British Columbia,Canada,$0.00,2021/08/05
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,Mobile Radiation Barrier with Window (Burnaby BC),ITQ-006751,Itq,2021/07/22,0,2021/07/30,Ultraray Group Inc.,Oakville,Ontario,Canada,"$7,248.64",2021/08/05
Procurement Services Branch,Ministry of Citizens' Services,Various Cisco Products (Victoria BC),ITQ-006749,Itq,2021/07/30,2,2021/08/04,Charter Telecom Inc,Victoria,British Columbia,Canada,"$1,233,330.01",2021/08/06
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Technical Design at the Cowichan Lake Research Station ,NOI22JHQ012,NOI,2021/07/16,0,2021/07/23,David Raymond Millard dba David Raymond Millard Design,Victoria,British Columbia,Canada,"$5,995.00",2021/08/06
Ministry of Attorney General,Ministry of Attorney General,Digital Evidence & Disclosure Management System Solution - NRFP,ON-003549,NRFP,2020/11/10,8,2020/11/16,Solutions Logiciels EDT Inc. (EDT Software Solutions Inc),Montreal,Quebec,Canada,"$16,530,000.00",2021/08/09
