Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Vancouver Island Health Authority,Vancouver Island Health Authority,VGH Staff Parking Reconfiguration,2102043-PARKINGLOT,RFP,2022/06/08,3,2022/06/09,Victoria Contracting,Victoria,,,"$352,913.00",2022/06/10
Vancouver Island Health Authority,Vancouver Island Health Authority,NRGH SPECT-CT Scan - Consulting Services,2281012-CONSULTANTS,RFP,2022/05/16,6,2022/05/27,IBI Group,Vancouver,,,$0.00,2022/06/10
Vancouver Island Health Authority,Vancouver Island Health Authority,NRGH SPECT-CT Scan - Consulting Services,2281012-CONSULTANTS,RFP,2022/05/16,6,2022/05/27,Evolve Engineering,Victoria,,,$0.00,2022/06/10
Vancouver Island Health Authority,Vancouver Island Health Authority,NRGH SPECT-CT Scan - Consulting Services,2281012-CONSULTANTS,RFP,2022/05/16,6,2022/05/27,WSP,Victoria,,,$0.00,2022/06/10
Vancouver Island Health Authority,Vancouver Island Health Authority,NRGH SPECT-CT Scan - Consulting Services,2281012-CONSULTANTS,RFP,2022/05/16,6,2022/05/27,Read Jones Christoffersen,Nanaimo,,,$0.00,2022/06/10
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"MP23TBS002 - Multiphase Blk Assessment, Layout & TSL Development",MP23TBS002,ITT,2022/05/11,1,2022/05/27,Chartwell Resource Group Ltd.,North Vancouver,British Columbia,Canada,"$254,325.00",2022/06/10
Ministry of Citizens' Services,Ministry of Citizens' Services,ON-003778  GEN.CONTRACTORS CONSTRUCTION SERVICES Campbell River,ON-003778,RQU,2022/04/29,0,2022/05/26,Dawn Construction (2018)Ltd.,Langley,British Columbia,Canada,$0.00,2022/06/10
Ministry of Citizens' Services,Ministry of Citizens' Services,ON-003778  GEN.CONTRACTORS CONSTRUCTION SERVICES Campbell River,ON-003778,RQU,2022/04/29,0,2022/05/26,Kinetic Construction Ltd.,Richmond,British Columbia,Canada,$0.00,2022/06/10
Ministry of Citizens' Services,Ministry of Citizens' Services,ON-003778  GEN.CONTRACTORS CONSTRUCTION SERVICES Campbell River,ON-003778,RQU,2022/04/29,0,2022/05/26,Novacom Building Partners Ltd,Surrey,British Columbia,Canada,$0.00,2022/06/10
Provincial Health Services Authority (Incl. BCCSS),Provincial Health Services Authority (Incl. BCCSS),PREQUALIFICATION for SURGICAL NAVIGATION SYSTEMS,PHSA 03731,RFSQ,2021/01/15,2,2021/01/27,Stryker,Waterdown,,,"$689,000.00",2022/06/10
Ministry of Forests,Ministry of Forests,Cranbrook VRI Ground Sampling,1070-30/OT23FHQ094,ITT,2022/05/13,0,2022/05/30,Atticus Environmental Services (Canada) Ltd.,Cobble Hill,British Columbia,Canada,"$259,284.43",2022/06/09
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Supply & Installation of North Rd Trunk Sewer No. 2 – Phase 2,22-008,RQU,2022/04/12,2,2022/04/28,see https://metrovancouver.bidsandtenders.ca,Burnaby,,,$0.00,2022/06/09
