Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Ministry of Agriculture,Ministry of Agriculture,Riparian Plant Identification Guides,GSA20CP011,SRFP,2019/08/12,1,2019/08/22,Zoetica Environmental Consulting Services,Maple Ridge,"$28,930.00",2019/10/15,British Columbia,Canada
Ministry of Agriculture,Ministry of Agriculture,Lentic Riparian Health EFP Assessment Guide,GSA20CP012,RFP,2019/08/12,1,2019/08/22,Zoetica Environmental Services,Maple Ridge,"$38,900.00",2019/10/10,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Leading engineering-based analysis of emissions for Petroleum Re,RFPGS20JHQ091,SRFP,2019/08/12,3,2019/08/13,Sacre-Davy Engineering,North Vancouver,"$98,600.00",2019/08/23,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,IBM DB2 License renewal (Victoria),ITQ-005956,Itq,2019/08/12,0,2019/08/19,"The KTL Group, Inc",Orleans,"$27,143.13",2019/09/27,Ontario,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Steam and Air-conditioning supply (District Energy systems) sect,RFPGS20JHQ050,SRFP,2019/08/12,1,2019/08/23,Reshape Infrastructure Strategies Ltd.,Vancouver,"$44,000.00",2019/09/11,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Tenable Industrial Security (Victoria),ITQ-005953,Itq,2019/08/12,0,2019/08/19,Scalar Decisions Inc.,Vancouver,"$588,482.48",2019/08/23,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,George Massey Tunnel Portals Sub-Drainage Improvements,12877MJ0002,MOTITT,2019/08/12,2,2019/08/21,N/A,Victoria,$0.00,2019/08/27,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,George Massey Tunnel Portals Sub-Drainage Improvements,12877MJ0002,MOTITT,2019/08/12,2,2019/08/21,N/A,Victoria,$0.00,2019/08/27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","ITQ-Deck refinishing project,Coastal Fire Centre,Parksville, BC",2019.02.08.13,ITQ,2019/08/13,0,2019/08/28,N/A,,$0.00,2019/10/10,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","ITQ-Deck refinishing project,Coastal Fire Centre,Parksville, BC",2019.02.08.13,ITQ,2019/08/13,0,2019/08/28,N/A,,$0.00,2019/10/10,,
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply & Install Exhaust Hoods for Mobile Kitchens **RE-QUOTE**,ITQ-005941R,Itq,2019/08/14,0,2019/08/22,Century Plumbing & Heating Ltd.,Chilliwack,"$86,965.77",2019/08/28,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Toquaht Marina Decommissioning and Campground Demolition,ITTCCSP2020-05,ITT,2019/08/14,2,2019/08/22,Pacific Industrial & Marine Ltd.,Duncan,"$222,000.00",2019/09/06,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,4 Cattleguards (Cranbrook),ITQ-005957,Itq,2019/08/14,2,2019/08/21,Shic Enterprises Ltd,Merritt,"$34,496.00",2019/08/27,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Omtool AccuRoute Licenses and Standard Support (Victoria),ITQ-005958,Itq,2019/08/15,0,2019/08/26,"Upland Software, Inc.",Austin,"$36,381.69",2019/09/27,Texas,United States
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Budworm egg-mass sampling the Cariboo Region,FH20WLN009,ITT,2019/08/15,0,2019/08/30,Ryshan Consulting Ltd.,Kamloops,"$44,550.00",2019/09/03,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Southern Interior Region Rumble Strip Program 2019,22376MJ2019,MOTITT,2019/08/15,0,2019/08/29,Dunwell Innovations Inc.,Kelowna,"$146,479.50",2019/08/30,British Columbia,Canada
