Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Standing Offer for Hearing Protector Items for Safety Helmet,ITQ-006650,Itq,2021/04/29,0,2021/05/07,Latoplast Ltd,Surrey,British Columbia,Canada,$0.00,2021/05/25
Procurement Services Branch,Ministry of Transportation and Infrastructure,GeoTextile and GeoGrid materials (Williams Lake),ITQ-006663,Itq,2021/05/10,0,2021/05/18,Western Tank and Lining Ltd.,Delta,British Columbia,Canada,"$17,864.00",2021/05/25
Procurement Services Branch,Ministry of Transportation and Infrastructure,"Non-woven Geotextile (Quesnel, BC)",ITQ-006666,Itq,2021/05/11,0,2021/05/20,Western Tank and Lining Ltd.,Delta,British Columbia,Canada,"$14,224.00",2021/05/25
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Sequential Particulate Samplers (Victoria BC),ITQ-006664,Itq,2021/05/10,0,2021/05/18,2496261 Ontario Inc.,Beamsville,Ontario,Canada,"$63,395.85",2021/05/26
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Replacement Middle & Lower Cambie Bridges- Project Supervision,12036,RQU,2021/02/17,1,2021/03/01,MCELHANNEY LTD,Kamloops,British Columbia,Canada,"$1,600,000.00",2021/05/26
Ministry of Attorney General,Ministry of Attorney General,Webcasting Services,12290,ITQ,2021/04/23,0,2021/05/07,Reportex Agencies Ltd.,Vancouver,British Columbia,Canada,"$50,000.00",2021/05/26
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Highway expansion including safety, reliability and capacity.",23909MJ0001,MOTITT,2021/05/10,4,2021/05/18,C.I.F. Construction Ltd.,Prince George,British Columbia,Canada,"$32,268,483.10",2021/05/26
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Construction Engineering Standard and Contracts Support,CMB20210211,SRFP,2021/02/22,2,2021/03/04,ADK Construction Management Services Ltd,Kamloops,British Columbia,Canada,"$202,500.00",2021/05/26
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Removal,Design,Supply &Install of Michelle-Coglistko FSR Quesnel",EN22DQU001,ITT,2021/05/17,2,2021/05/20,IOTA Construction Ltd.,Chilliwack,British Columbia,Canada,"$535,448.00",2021/05/26
Procurement Services Branch,Ministry of Citizens' Services,Juniper Compact Ethernet Switch and Accessories (Victoria BC),ITQ-006672,Itq,2021/05/16,0,2021/05/25,Telus Communications Inc.,Victoria,British Columbia,Canada,"$12,891.77",2021/05/26
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,10-34-0 and 28-0-0 agricultural grade liquid fertilizer,ITQ-006674,Itq,2021/05/18,0,2021/05/26,Terralink Horticulture Inc,Abbotsford,British Columbia,Canada,"$53,173.22",2021/05/26
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",RFP - TPL & TKA Lidar,OP22BMRS013,RFP,2021/05/06,1,2021/05/17,Quantum Spatial Canada d/b/a NV5 Geospatial,Vancouver,British Columbia,Canada,"$341,320.87",2021/05/26
Ministry of Attorney General,Ministry of Attorney General,Invitation to Quote for Services (Webcasting),12129,ITQ,2021/03/10,2,2021/03/15,N/A,Burnaby,British Columbia,Canada,$0.00,2021/05/27
Ministry of Attorney General,Ministry of Attorney General,Invitation to Quote for Services (Webcasting),12129,ITQ,2021/03/10,2,2021/03/15,N/A,Burnaby,British Columbia,Canada,$0.00,2021/05/27
Ministry of Attorney General,Ministry of Attorney General,Invitation to Quote for Services (Webcasting),12129,ITQ,2021/03/10,2,2021/03/15,N/A,Burnaby,British Columbia,Canada,"$25,000.00",2021/05/27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Dust Control,EN22LMN308,ITT,2021/05/11,2,2021/05/13,Custom Tank Services Ltd.,Abbotsford,British Columbia,Canada,"$53,741.00",2021/05/27
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Highways Department Spatial Services As and When Support,SRFP-HSS210421,SRFP,2021/05/17,1,2021/05/19,Strategic Natural Resource Consultants,Campbell River,British Columbia,Canada,$0.00,2021/05/27
"Ministry of Agriculture, Food and Fisheries","Ministry of Agriculture, Food and Fisheries",Central Interior Forage Fertilization Demonstration Trials,GSA22AGR065,SRFP,2021/05/07,1,2021/05/09,BRITISH COLUMBIA FORAGE COUNCIL,Prince George,British Columbia,Canada,"$35,000.00",2021/05/28
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Jira Software License Renewal (Victoria BC),ITQ-006669,Itq,2021/05/13,0,2021/05/25,Highway Three Solutions (2013) Ltd.,Victoria,British Columbia,Canada,"$7,146.56",2021/05/28
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Harvest Residue Compiler,1070-20/GMA22TPB002,ITT,2021/05/04,2,2021/05/07,Forest Analysis Ltd.,Huntsville,Ontario,Canada,"$30,000.00",2021/05/28
Ministry of Children and Family Development,Ministry of Children and Family Development,CYSN Service Framework Approach and Evaluation,XCN2021020NOI,NOI,2021/05/13,0,2021/05/22,McMaster University,Hamilton,Ontario,Canada,"$75,000.00",2021/05/30
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HYDROGRAPHIC SURVEYS AT SELECTED STRUCTURES IN BRITISH COLUMBIA,83106OP2201,MOTITT,2021/04/29,0,2021/05/20,CRA Canada Surveys Inc.,Chase,British Columbia,Canada,"$164,899.50",2021/05/31
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HYDROGRAPHIC SURVEYS AT SELECTED STRUCTURES IN BRITISH COLUMBIA,83106OP2201,MOTITT,2021/04/29,0,2021/05/20,CRA Canada Surveys Inc.,Chase,British Columbia,Canada,"$164,899.50",2021/05/31
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Routine Bridge Inspections-100 Mile Hse,Clrwter,Kamloops,Cascade",EN22474009,ITT,2021/05/17,1,2021/05/27,SNT ENGINEERING LTD,Nelson,British Columbia,Canada,"$52,650.00",2021/05/31
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS22MRB502 Sasquatch Wildfire Risk Reduction Prescriptions,GS22MRB502,ITT,2021/05/07,1,2021/05/26,Frontera Forest Solutions Inc.,North Vancouver,British Columbia,Canada,"$29,028.50",2021/05/31
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Flat Deck Build and Installation (Kamloops, BC)",ITQ-006679,Itq,2021/05/19,1,2021/05/27,NxStar Systems Inc.,Kamloops,British Columbia,Canada,"$13,888.00",2021/05/31
Procurement Services Branch,Ministry of Citizens' Services,Cisco AnyConnect Apex License (Victoria BC),ITQ-006683,Itq,2021/05/19,0,2021/05/27,Charter Telecom Inc,Victoria,British Columbia,Canada,"$80,360.00",2021/05/31
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wood Debris Removal Okanagan River Channel Structures,GS22PNE400,ITQ,2021/04/20,0,2021/05/10,Trademark Inc,Penticton,British Columbia,Canada,"$15,000.00",2021/06/01
Procurement Services Branch,Ministry of Transportation and Infrastructure,Airlink Management Service (Victoria BC),ITQ-006668,Itq,2021/05/12,0,2021/05/21,Ralph's Radio Ltd.,Vancouver,British Columbia,Canada,"$17,165.71",2021/06/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",RFP: TSK & TSN Lidar and Imagery,OP22BMRS011,RFP,2021/05/06,1,2021/05/17,McElhanney Ltd,Vancouver,British Columbia,Canada,"$358,389.00",2021/06/01
Ministry of Health,Ministry of Health,Rapid Evidence Review Services,SRFPHL2021-006,SRFP,2021/03/23,1,2021/04/01,Simon Fraser University,Burnaby,British Columbia,Canada,"$75,000.00",2021/06/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Human Resource Management Services,1070-30/HR22FHQ035,NOI,2021/04/20,1,2021/04/30,Kathleen Elizabeth Noble dba K. Noble HR Consulting,Victoria,British Columbia,Canada,"$8,000.00",2021/06/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Danger Tree Assesments,CS22LMN100,ITT,2021/05/07,0,2021/05/25,Simon Murray dba Murray Forestry Services Co.,North Vancouver,British Columbia,Canada,"$8,500.00",2021/06/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Engineering Project Monitoring,EN22DTR003,ITT,2021/04/26,1,2021/04/29,Integrated ProAction Corp,Kamloops,British Columbia,Canada,"$35,500.00",2021/06/02
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,INDIGENOUS RELATIONS CONSULTANT,IR01042021-5322,RFP,2021/04/07,0,2021/04/30,GAR Consulting Inc.,Victoria,British Columbia,Canada,"$250,000.00",2021/06/02
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,INDIGENOUS RELATIONS CONSULTANT,IR01042021-5322,RFP,2021/04/07,0,2021/04/30,Sky Property Services Inc.,Maple Ridge,British Columbia,Canada,"$250,000.00",2021/06/02
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms 6.5 (Victoria BC),ITQ-006684,Itq,2021/05/19,0,2021/05/27,CompuMSTR Inc.,Mississauga,Ontario,Canada,"$225,924.97",2021/06/02
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,Cadaver lift- CDVR LFT END/SD ACCESS 5TIER,ITQ-006678,Itq,2021/05/26,1,2021/05/31,Fisher Scientific Company,Nepean,Ontario,Canada,"$17,632.31",2021/06/02
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replace exisitng temporary bridge with a large culvert,24661MJ0000,MOTITT,2021/04/23,2,2021/04/30,A&A Trading Ltd.,Vancouver,British Columbia,Canada,"$700,389.98",2021/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bridge Replacement K1748 Dairy Lake - FSR,EN22474004,ITT,2021/05/17,2,2021/06/01,Cutting Edge Consulting Inc.,Kamloops,British Columbia,Canada,"$147,370.00",2021/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bridge Replacement K1748 Dairy Lake - FSR,EN22474004,ITT,2021/05/17,2,2021/06/01,Cutting Edge Consultants Inc.,Kamloops,British Columbia,Canada,"$147,370.00",2021/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Design, Supply and Install K1690 Bridge at 1.0km Jamieson Cr FSR",EN22474006,ITT,2021/05/17,3,2021/06/03,Cutting Edge Consultants Inc.,Kamloops,British Columbia,Canada,"$764,555.00",2021/06/03
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Design/fabricate/supply Steel Girder Concrete Deck Bridge ,ITQ-006670,Itq,2021/05/21,1,2021/06/02,Pioneer Precast Products,Chilliwack,British Columbia,Canada,"$497,720.16",2021/06/03
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Herbicide Purchase - ClearView and Milestone,ITQ-006671,Itq,2021/05/17,0,2021/05/25,ES OPCO Canada II Ltd.,Calgary,Alberta,Canada,"$11,507.00",2021/06/03
Procurement Services Branch,Ministry of Transportation and Infrastructure,Fabricate and Supply Wire Rope Anchors,ITQ-006681,Itq,2021/05/26,2,2021/05/28,Hercules SLR Inc.,Langley,British Columbia,Canada,"$8,912.51",2021/06/03
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Radio Chest Harness & Extra Strap (Chilliwack & Prince George),ITQ-006685,Itq,2021/05/25,1,2021/05/31,"Motion Industries (Canada), Inc.",Abbotsford,British Columbia,Canada,$0.00,2021/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Kootenay Boundary Historical Photo Orthorectification,TE22REM050/1070-20,SRFP,2021/05/03,1,2021/05/10,Orthoshop Geomatics Ltd,Calgary,Alberta,Canada,"$9,980.00",2021/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Kootenay Boundary Historical Photo Orthorectification,TE22REM050/1070-20,SRFP,2021/05/03,1,2021/05/10,Orthoshop Geomatics Ltd,Calgary,Alberta,Canada,"$9,980.00",2021/06/03
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"H3B Fruitvale to Jct H3, H22A and Local Area Side Rd Resurfacing",25285MJ0000,MOTITT,2021/05/14,0,2021/06/01,Terus Construction Ltd. Dba Selkirk Paving,Crescent Valley,British Columbia,Canada,"$7,465,529.51",2021/06/03
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"H3B Fruitvale to Jct H3, H22A and Local Area Side Rd Resurfacing",25285MJ0000,MOTITT,2021/05/14,0,2021/06/01,Terus Construction Ltd. Dba Selkirk Paving,Crescent Valley,British Columbia,Canada,"$7,465,529.51",2021/06/03
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,Autopsy saw and accessories,ITQ-006675,Itq,2021/05/26,3,2021/05/31,Fisher Scientific Company,Nepean,Ontario,Canada,"$10,795.71",2021/06/03
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,Hydraulic Autopsy platform,ITQ-006676,Itq,2021/05/26,3,2021/05/31,Fisher Scientific Company,Nepean,Ontario,Canada,"$21,728.79",2021/06/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Burns Lake Tactical Plan,GS22DND002,SRFP,2021/04/21,1,2021/05/19,FORSITE CONSULTANTS LTD,Salmon Arm,British Columbia,Canada,"$49,614.20",2021/06/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Houston Topley Tactical Plan,GS22DND003,SRFP,2021/04/21,1,2021/05/19,FORSITE CONSULTANTS LTD,Salmon Arm,British Columbia,Canada,"$49,946.75",2021/06/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Francois Lake North Tactical Plan,GS22DND004,SRFP,2021/04/21,0,2021/05/19,Forsite Consultants Ltd.,Salmon Arm,British Columbia,Canada,"$42,453.60",2021/06/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS22MRB903 Panorama Wildfire Risk Reduction Prescriptions,GS22MRB903,ITT,2021/04/27,0,2021/05/27,Frontline Operations Group Ltd.,Vernon,British Columbia,Canada,"$7,878.33",2021/06/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS22MRB904 Salmo Wildfire Risk Reduction Prescriptions,GS22MRB904,ITT,2021/04/29,0,2021/06/03,Frontline Operations Group Ltd.,Vernon,British Columbia,Canada,"$9,328.44",2021/06/04
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H20 Williams Lake Creek Bridge (No. 0940) Deck Resurfacing,24176MJ0000,MOTITT,2021/05/04,0,2021/05/27,Cortez Construction Ltd.,Kamloops,British Columbia,Canada,"$2,095,025.00",2021/06/07
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H20 Williams Lake Creek Bridge (No. 0940) Deck Resurfacing,24176MJ0000,MOTITT,2021/05/04,0,2021/05/27,Cortez Construction Ltd.,Kamloops,British Columbia,Canada,"$2,095,025.00",2021/06/07
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","ITQ - LiDAR: Surf Inlet, Tulsequa River, Mount Copeland",OP22BMRS017,ITQ,2021/05/07,0,2021/05/20,McElhanney Ltd.,Vancouver,British Columbia,Canada,"$125,834.30",2021/06/07
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Morris Valley Road - Chehalis River Bridge #01331 Replacement,12207MJ0002,MOTITT,2021/05/14,2,2021/06/01,Dorosh Construction Ltd.,Langley,British Columbia,Canada,"$7,334,847.26",2021/06/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bridge Installations N1-182 & N1-250 Wildhorse - FSR,EN22474-002,ITT,2021/05/17,2,2021/06/03,Bad Ventures Ltd.,Cranbrook,British Columbia,Canada,"$99,495.00",2021/06/08
Procurement Services Branch,Ministry of Citizens' Services,"Architectural Services, Robson Square UBC Entryway Project",ON-003548,RQU,2021/01/11,3,2021/01/18,N/A,,,,$0.00,2021/06/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS22MRB500 Blackcomb Addition WRR Prescriptions,GS22MRB500,ITT,2021/05/03,0,2021/06/01,Cabin Resource Management Ltd.,Vernon,British Columbia,Canada,"$53,898.14",2021/06/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cone Picking Lodgepole Pine Orchards,1070-30/CC22FHQ017,ITT,2021/04/22,0,2021/05/20,N/A,,,,$0.00,2021/06/10
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 3 Lower and Middle Cambie Creek Bridge Replacements,12266MJ0002,MOTITT,2021/05/19,2,2021/06/02,Hanna Infrastructure Ltd.,North Vancouver,British Columbia,Canada,"$11,964,913.00",2021/06/10
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,SIR Inlaid Durable Pavement Markings,25342MJ2021,MOTITT,2021/04/13,0,2021/05/12,Infinite Road Marking Ltd.,Abbotsford,British Columbia,Canada,"$594,964.88",2021/06/10
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,SIR Inlaid Durable Pavement Markings,25342MJ2021,MOTITT,2021/04/13,0,2021/05/12,Infinite Road Marking Ltd.,Abbotsford,British Columbia,Canada,"$594,964.88",2021/06/10
Procurement Services Branch,Ministry of Citizens' Services,IBM InfoSphere Master Data Management (MDM) (Victoria BC),ITQ-006691,Itq,2021/05/26,0,2021/06/03,Softchoice LP,Vancouver,British Columbia,Canada,"$275,755.20",2021/06/10
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,ScriptRunner for Confluence Server License (Victoria BC),ITQ-006695,Itq,2021/05/31,0,2021/06/08,Highway Three Solutions (2013) Ltd.,Victoria,British Columbia,Canada,"$7,162.31",2021/06/10
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Rock Slope Stabilization, Beasley Bluff, Highway 3A",86002MN4553,MOTITT,2021/05/14,0,2021/06/08,Dynamite Construction Ltd.,Kamloops,British Columbia,Canada,"$155,720.00",2021/06/11
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Rock Slope Stabilization, Beasley Bluff, Highway 3A",86002MN4553,MOTITT,2021/05/14,0,2021/06/08,Dynamite Construction Ltd.,Kamloops,British Columbia,Canada,"$155,720.00",2021/06/11
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",RPAS (Drone) Wildfire Infrared Scanning Services,ON-003633,RSO,2021/04/19,3,2021/04/28,Strategic Natural Resource Consultants Inc.,Campbell River,British Columbia,Canada,$1.00,2021/06/11
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",RPAS (Drone) Wildfire Infrared Scanning Services,ON-003633,RSO,2021/04/19,3,2021/04/28,Hummingbird Drones Inc.,Kamloops,British Columbia,Canada,$1.00,2021/06/11
Ministry of Citizens' Services,Ministry of Citizens' Services,Certification Body ISO 14001:2015,SRFP RPD-CS-113,SRFP,2021/04/23,1,2021/04/29,PricewaterhouseCoopers LLP,Vancouver,British Columbia,Canada,"$40,595.00",2021/06/11
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",RPAS (Drone) Wildfire Infrared Scanning Services,ON-003633,RSO,2021/04/19,3,2021/04/28,Stinson Aerial Services Inc.,Black Creek,British Columbia,Canada,$1.00,2021/06/11
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",HAIDA GWAII - Bridge Installation & Road Crossing Deactivation,EN22NAN801,ITT,2021/05/13,1,2021/06/03,Xaayda Ventures Inc.,Skidegate,British Columbia,Canada,"$99,199.82",2021/06/11
Ministry of Citizens' Services,Ministry of Citizens' Services,Technical QA Person for an Agile/Scrum Team in Victoria BC,12360,SRFP,2021/05/25,3,2021/05/27,Freshworks Studio,Victoria,British Columbia,Canada,"$250,000.00",2021/06/14
Ministry of Citizens' Services,Ministry of Citizens' Services,Technical QA Person for an Agile/Scrum Team in Victoria BC,12360,SRFP,2021/05/25,3,2021/05/27,Ranstad Interim Inc.,Victoria,British Columbia,Canada,"$250,000.00",2021/06/14
Ministry of Citizens' Services,Ministry of Citizens' Services,UI/UX Designer for browser-based applications and web properties,12364,SRFP,2021/05/18,1,2021/05/28,Freshworks Studio,Victoria,British Columbia,Canada,"$250,000.00",2021/06/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildfire Suppression Rehabilitation Plans– ,GS22WLN001,ITT,2021/06/01,1,2021/06/08,Forsite Consultants Ltd,Salmon Arm,British Columbia,Canada,"$72,575.00",2021/06/14
Procurement Services Branch,Ministry of Justice,Logitech Z150 Speakers (5 locations),ITQ-006698,Itq,2021/06/02,0,2021/06/10,Elco Systems Inc.,Richmond,British Columbia,Canada,"$6,258.56",2021/06/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",As&When Services-Repair & Service of Grounds & Facilities COFC,SRFPGS22COE0014,SRFP,2021/05/11,0,2021/06/08,1049546 BC Ltd,Nanoose Bay,British Columbia,Canada,"$50,000.00",2021/06/14
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing Tachie Road and Fort St. James Arterial,37920MJ0000,MOTITT,2021/06/03,2,2021/06/10,Okanagan Aggregates Ltd.,Armstrong,British Columbia,Canada,"$4,595,005.00",2021/06/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cunningham FSR 10km Re-Alignment and Surfacing,EN22DSN021,ITT,2021/05/27,1,2021/06/03,A & A Trading Ltd,Vancouver,British Columbia,Canada,"$263,087.55",2021/06/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Close Proximity Bridge Inspections - North Area,EN22PGN303,ITT,2021/06/01,1,2021/06/15,Allnorth Consultants Limited,Prince George,British Columbia,Canada,"$104,500.00",2021/06/15
Procurement Services Branch,Ministry of Transportation and Infrastructure,2 X  Mobile Office 12' X 44' (Asphalt Lab Testing Facilities),ITQ-006665,Itq,2021/05/21,1,2021/06/02,National Trailer Mfg. Ltd.,Edmonton,Alberta,Canada,"$338,008.98",2021/06/15
Ministry of Attorney General,Ministry of Attorney General,NOTICE OF INTENT TO DIRECT AWARD AN ADULT EDUCATION CONTRACT,NOI-AG-JES-04-2021,NOI,2021/04/20,2,2021/05/03,Justice Education Society of British Columbia,Vancouver,British Columbia,Canada,"$78,000.00",2021/06/15
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Storage- Penticton ,BCCS22NOI711A,NOI,2021/05/20,0,2021/06/03,BC 1303807LTD.,Penticton,British Columbia,Canada,"$50,000.00",2021/06/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Kinskuch 14km Failure Repair,EN22PGN327,ITT,2021/06/09,1,2021/06/16,Noble Five Creek Ltd.,Terrace,British Columbia,Canada,"$116,677.50",2021/06/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Teardrop FSR Bridge and Culvert Installation,EN22PGN328,ITT,2021/06/14,3,2021/06/16,N/A,,,,$0.00,2021/06/16
Procurement Services Branch,Ministry of Citizens' Services,JBoss Enterprise Application Platform withManagement - Premium s,ITQ-006700,Itq,2021/06/04,0,2021/06/14,Myra Systems Corp,Victoria,British Columbia,Canada,"$26,387.34",2021/06/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","""As and When"" Forest Service Road Maintenance",EN22LMN305,ITT,2021/05/19,2,2021/05/31,Mission Contractors Ltd.,Mission,British Columbia,Canada,"$200,874.00",2021/06/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Hankin-Evelyn Road Reconstruction,EN22PGN325,ITT,2021/06/08,1,2021/06/10,West Horizon Contracting Inc.,Smithers,British Columbia,Canada,"$125,000.00",2021/06/17
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,IBM DB2 Subscription Renewal (Victoria BC),ITQ-006697,Itq,2021/05/31,0,2021/06/09,GlassHouse Systems Inc.,North York,Ontario,Canada,"$20,183.45",2021/06/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fertilization Monitoring and Prescriptions,CS22LMN001,ITT,2021/05/20,0,2021/06/07,B.A. Blackwell and Assocites Ltd.,North Vancouver,British Columbia,Canada,"$158,625.00",2021/06/21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",IS21IIT068RFP ILRR,IS21IIT068RFP,RFP,2021/02/23,1,2021/03/18,Forte Consulting Ltd.,Victoria,British Columbia,Canada,"$440,000.00",2021/06/21
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Resurfacing on Highway 1 and Columbia Valley Highway.,13048MJ2021,MOTITT,2021/06/08,2,2021/06/16,Key-West Asphalt (333) Ltd.,Abbotsford,British Columbia,Canada,"$6,978,050.60",2021/06/22
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Cariboo District Thermoplastic and Paint Application,23353MJ2021,MOTITT,2021/05/27,0,2021/06/17,Infinite Road Marking Ltd.,Abbotsford,British Columbia,Canada,"$248,012.35",2021/06/22
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Cariboo District Thermoplastic and Paint Application,23353MJ2021,MOTITT,2021/05/27,0,2021/06/17,Infinite Road Marking Ltd.,Abbotsford,British Columbia,Canada,"$248,012.35",2021/06/22
