Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Grading Maggie Lake FSR Branch 01 & 04,EN22NAN600,ITT,2021/03/12,1,2021/03/25,Tyler Davis dba TMD Machinery,Lake Cowichan,British Columbia,Canada,"$55,450.00",2021/04/19
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",**REQUOTE** Request for Standing Offer BCWS Camping Supplies,ITQ-006610R,Itq,2021/03/29,0,2021/04/07,FYPM Holdings Inc,Maple Ridge,British Columbia,Canada,$0.00,2021/04/20
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",**REQUOTE** Request for Standing Offer BCWS Camping Supplies,ITQ-006610R,Itq,2021/03/29,0,2021/04/07,Campers Village,Edmonton,Alberta,Canada,$0.00,2021/04/20
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",**REQUOTE** Request for Standing Offer BCWS Camping Supplies,ITQ-006610R,Itq,2021/03/29,0,2021/04/07,"Prototype Integrated Solutions, Inc.",Langley,British Columbia,Canada,$0.00,2021/04/20
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,MPAP-GMC-ARC2021 RFP for Archaeological Services,MPAP-GMC-ARC2021,RFP,2021/02/19,0,2021/03/17,Golder Associates,Vancouver,British Columbia,Canada,"$2,100,000.00",2021/04/20
Ministry of Health,Ministry of Health,Rapid Evidence Review Services,SRFPHL2021-006,SRFP,2021/03/23,1,2021/04/01,"Tracy Jayne Byrne, dba InsideOut Policy Research",Victoria,British Columbia,Canada,"$75,000.00",2021/04/20
Procurement Services Branch,Ministry of Health,Red Hat Software Maintenance and Support: Mar 11/21 - Mar 10/24,ITQ-006620R,Itq,2021/04/07,0,2021/04/15,Unilogik Systems Inc,Vancouver,British Columbia,Canada,"$99,830.00",2021/04/21
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Asst'd dimension Western Red Cedar and tent pads (Kokanee Creek),ITQ-006627,Itq,2021/04/08,0,2021/04/16,Andrew Hudson Green,Ladysmith,British Columbia,Canada,"$21,787.36",2021/04/21
Procurement Services Branch,Ministry of Transportation and Infrastructure,ZOHO ManageEngine Password Pro Enterprise Edition,ITQ-006630,Itq,2021/04/09,0,2021/04/19,Codework Inc.,Ottawa,Ontario,Canada,"$5,132.40",2021/04/21
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 3 HIPR - Fraser Valley Area; Hope Slide and Manning Park,12873MJ2021,MOTITT,2021/04/14,1,2021/04/21,ARC Asphalt Recycling Inc.,Kamloops,British Columbia,Canada,"$5,387,857.00",2021/04/22
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H24 Bridge Lake North Road to Brake Check Seal Coat,25332MJ2021,MOTITT,2021/03/30,0,2021/04/20,Arrowsmith Road Maintenance Ltd.,Victoria,British Columbia,Canada,"$1,777,461.00",2021/04/22
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H24 Bridge Lake North Road to Brake Check Seal Coat,25332MJ2021,MOTITT,2021/03/30,0,2021/04/20,Arrowsmith Road Maintenance Ltd.,Victoria,British Columbia,Canada,"$1,777,461.00",2021/04/22
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Resurfacing from Cache Creek to Walhachin,25307MJ0000,MOTITT,2021/04/06,0,2021/04/21,Emil Anderson Construction (EAC) Inc.,Kelowna,British Columbia,Canada,"$6,317,776.03",2021/04/23
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Resurfacing from Cache Creek to Walhachin,25307MJ0000,MOTITT,2021/04/06,0,2021/04/21,Emil Anderson Construction (EAC) Inc.,Kelowna,British Columbia,Canada,"$6,317,776.03",2021/04/23
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal & Transportation - Kamloops ,BCCS21NOI711I,NOI,2021/04/07,0,2021/04/21,Seldom Silent Enterprise Ltd.,Kelowna,British Columbia,Canada,"$600,000.00",2021/04/23
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Commercial Director, Broadway Subway Project",BSP TEC 2021 11,RFP,2021/02/10,0,2021/03/10,Paul Morcombe,Vancouver,British Columbia,Canada,"$1,734,280.00",2021/04/23
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,BC Parks Firearms Instructor Course Delivery,12184,RFP,2021/03/23,1,2021/04/06,Silvercore Advanced Training Systems Inc,Delta,British Columbia,Canada,"$23,961.81",2021/04/26
