Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Lytton Fire Base - Electrical System Installation,CPWHQ0129 REV,ITT,2020-02-21,1,2020-02-25,Next Gen Electrical Services Ltd.,Victoria,"$55,200.00",2020-02-27,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Request for Standing Offer - Plastic Toilet Buildings,ITQ-006087,Itq,2020-01-14,0,2020-01-29,Wishbone Industries Ltd,Langley,$0.00,2020-03-02,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Transportation Digital Innovation Strategy,MOTI-TI-201912,SRFP,2020-01-15,5,2020-01-20,Deloitte Inc.,Victoria,"$118,000.00",2020-03-02,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer Electrolyte Product (NUUN Hydration),ITQ-006129,Itq,2020-02-13,1,2020-02-18,Prototype Integrated Solutions Inc,Milner,$0.00,2020-03-03,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Architect-Engineering Assessment Advisory Services,ON-003453,RFP,2020-02-13,8,2020-02-19,O4 Architecture Ltd.,Vancouver,"$286,475.00",2020-03-03,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Gypsy Moth Aerial Eradication Program,1070-30/FH20FHQ319,SRFP,2020-02-11,2,2020-02-19,TWIN AVIATION INC.,Delta,"$226,174.00",2020-03-04,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Cisco Network Equipment (Victoria),ITQ-006140,Itq,2020-02-11,0,2020-02-20,Powerland Computers Ltd.,Winnipeg,"$523,269.60",2020-03-04,Manitoba,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply & Delivery of DJI Mavic Mini Drones (Victoria),ITQ-006148,Itq,2020-02-13,0,2020-02-21,Visions Electronics Limited Partnership,Calgary,"$7,190.40",2020-03-04,Alberta,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing 2020/21 - Prince George Area Paving,37722MJ0000,MOTITT,2020-02-13,1,2020-02-25,Terus Construction Ltd. Dba Pittman Asphalt,Prince George,"$3,730,977.05",2020-03-04,British Columbia,Canada
Ministry of Agriculture,Ministry of Agriculture,Supplies for Japanese Beetle Project,BS18-21-01,ITQ,2020-02-20,0,2020-02-28,Nutrien,Abbotsford,"$45,650.00",2020-03-04,British Columbia,Canada
Procurement Services Branch,Ministry of Health,Jira Software Upgrade 100 Users (from 25 users),ITQ-006144,Itq,2020-02-20,1,2020-02-24,Highway Three Solutions (2013) Ltd.,Victoria,"$9,369.00",2020-03-04,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply and Delivery of Arch Pipe (Fort St John),ITQ-006149,Itq,2020-02-24,3,2020-02-26,Canada Culvert,Langley,"$114,307.20",2020-03-04,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Bear Proof Recycling Storage Containter (Wasa),ITQ-006153,Itq,2020-02-24,0,2020-03-02,S C S Steel Container Systems Inc.,Nanaimo,"$15,104.51",2020-03-04,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Bear Proof Recycling Storage Containers (Nelson),ITQ-006154,Itq,2020-02-24,0,2020-03-02,S C S Steel Container Systems Inc.,Nanaimo,"$15,104.51",2020-03-04,British Columbia,Canada
Ministry of Agriculture,Ministry of Agriculture,Review of alternatives to traditional meat inspection model,11040,SRFP,2019-12-13,1,2020-01-07,Upland Agricultural Consulting Ltd.,Sechelt,"$19,300.00",2020-03-05,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Bridge and Pavement Condition Analysis,SRFP-CMB20191210,SRFP,2019-12-23,1,2020-01-09,ISI System Solutions Inc.,Victoria,"$300,000.00",2020-03-05,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Bridge and Pavement Condition Analysis,SRFP-CMB20191210,SRFP,2019-12-23,1,2020-01-09,McCall Engineering Ltd,Victoria,"$300,000.00",2020-03-05,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Design and Project Management - Penticton Fire Zone,SRFP20HQBCWS001,SRFP,2020-02-11,7,2020-02-12,Think Space Architecture Planning Interior Design,Victoria,"$163,128.00",2020-03-05,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Structural Engineering Consulting Services,ON-003458,RFP,2020-02-07,2,2020-02-13,N/A,,$0.00,2020-03-06,,
